Source,Target,Weight
long0500-data_text,anon0501-data_text,1
arna0440-linux-data_text,arna0440-dos-data_text,1
arna0440-source-data_text,arna0440-dos-data_text,1
arna0440-dos-data_text,arna0440-linux-data_text,1
arna0440-source-data_text,arna0440-linux-data_text,1
arna0440-dos-data_text,arna0440-source-data_text,1
arna0440-linux-data_text,arna0440-source-data_text,1
russ0000-data_text,CROW0000-data_text,1
pohl0350-data_text,kenn0000-data_text,1
ticm0350-data_text,kint0350-data_text,1
anon0501-data_text,long0500-data_text,1
wood0430-data_text,munk0430-data_text,1
wood043b-data_text,munk0430-data_text,1
kenn0000-data_text,pohl0350-data_text,1
CROW0000-data_text,russ0000-data_text,1
kint0350-data_text,ticm0350-data_text,1
munk0430-data_text,wood0430-data_text,1
wood043b-data_text,wood0430-data_text,1
munk0430-data_text,wood043b-data_text,1
wood0430-data_text,wood043b-data_text,1
kine0350-data_text,ekma0350-data_text,0.996675398
ekma0350-data_text,kine0350-data_text,0.996675398
daim0350-data_text,cox_0350-data_text,0.993521341
cox_0350-data_text,daim0350-data_text,0.993521341
lumm0350-data_text,daim0350-data_text,0.987971638
daim0350-data_text,lumm0350-data_text,0.987971638
lumm0350-data_text,cox_0350-data_text,0.987093509
cox_0350-data_text,lumm0350-data_text,0.987093509
wood0350-data_text,gill0350-data_text,0.980436681
gill0350-data_text,wood0350-data_text,0.980436681
kenn0000-data_text,daim0350-data_text,0.958286778
pohl0350-data_text,daim0350-data_text,0.958286778
daim0350-data_text,kenn0000-data_text,0.958286778
daim0350-data_text,pohl0350-data_text,0.958286778
kenn0000-data_text,cox_0350-data_text,0.956473214
pohl0350-data_text,cox_0350-data_text,0.956473214
cox_0350-data_text,kenn0000-data_text,0.956473214
cox_0350-data_text,pohl0350-data_text,0.956473214
lumm0350-data_text,kenn0000-data_text,0.954556711
kenn0000-data_text,lumm0350-data_text,0.954556711
pohl0350-data_text,lumm0350-data_text,0.954556711
lumm0350-data_text,pohl0350-data_text,0.954556711
whin0450-data_text,kenn0000-data_text,0.878652968
whin0450-data_text,pohl0350-data_text,0.878652968
kenn0000-data_text,whin0450-data_text,0.878652968
pohl0350-data_text,whin0450-data_text,0.878652968
whin0450-data_text,daim0350-data_text,0.860356778
daim0350-data_text,whin0450-data_text,0.860356778
whin0450-data_text,cox_0350-data_text,0.859218892
cox_0350-data_text,whin0450-data_text,0.859218892
whin0450-data_text,lumm0350-data_text,0.855282527
lumm0350-data_text,whin0450-data_text,0.855282527
wood0350-data_text,kine0350-data_text,0.751031523
kine0350-data_text,wood0350-data_text,0.751031523
wood0350-data_text,ekma0350-data_text,0.748867847
ekma0350-data_text,wood0350-data_text,0.748867847
vane0560-data_text,oska0551-data_text,0.746637398
oska0551-data_text,vane0560-data_text,0.746637398
kine0350-data_text,gill0350-data_text,0.739931238
gill0350-data_text,kine0350-data_text,0.739931238
gill0350-data_text,ekma0350-data_text,0.738661437
ekma0350-data_text,gill0350-data_text,0.738661437
oska0551-data_text,anon0501-data_text,0.715910624
oska0551-data_text,long0500-data_text,0.715910624
anon0501-data_text,oska0551-data_text,0.715910624
long0500-data_text,oska0551-data_text,0.715910624
kint0350-data_text,kine0350-data_text,0.714298315
ticm0350-data_text,kine0350-data_text,0.714298315
kine0350-data_text,kint0350-data_text,0.714298315
kine0350-data_text,ticm0350-data_text,0.714298315
kint0350-data_text,ekma0350-data_text,0.712977637
ticm0350-data_text,ekma0350-data_text,0.712977637
ekma0350-data_text,kint0350-data_text,0.712977637
ekma0350-data_text,ticm0350-data_text,0.712977637
wood0350-data_text,kint0350-data_text,0.628103044
wood0350-data_text,ticm0350-data_text,0.628103044
kint0350-data_text,wood0350-data_text,0.628103044
ticm0350-data_text,wood0350-data_text,0.628103044
kint0350-data_text,gill0350-data_text,0.623814705
ticm0350-data_text,gill0350-data_text,0.623814705
gill0350-data_text,kint0350-data_text,0.623814705
gill0350-data_text,ticm0350-data_text,0.623814705
wood0350-data_text,munk0430-data_text,0.586830769
munk0430-data_text,wood0350-data_text,0.586830769
wood0430-data_text,wood0350-data_text,0.586830769
wood043b-data_text,wood0350-data_text,0.586830769
wood0350-data_text,wood0430-data_text,0.586830769
wood0350-data_text,wood043b-data_text,0.586830769
munk0430-data_text,gill0350-data_text,0.581745789
wood0430-data_text,gill0350-data_text,0.581745789
wood043b-data_text,gill0350-data_text,0.581745789
gill0350-data_text,munk0430-data_text,0.581745789
gill0350-data_text,wood0430-data_text,0.581745789
gill0350-data_text,wood043b-data_text,0.581745789
vane0560-data_text,anon0501-data_text,0.568068634
vane0560-data_text,long0500-data_text,0.568068634
anon0501-data_text,vane0560-data_text,0.568068634
long0500-data_text,vane0560-data_text,0.568068634
munk0430-data_text,kine0350-data_text,0.472116488
wood0430-data_text,kine0350-data_text,0.472116488
wood043b-data_text,kine0350-data_text,0.472116488
kine0350-data_text,munk0430-data_text,0.472116488
kine0350-data_text,wood0430-data_text,0.472116488
kine0350-data_text,wood043b-data_text,0.472116488
munk0430-data_text,ekma0350-data_text,0.470985644
wood0430-data_text,ekma0350-data_text,0.470985644
wood043b-data_text,ekma0350-data_text,0.470985644
ekma0350-data_text,munk0430-data_text,0.470985644
ekma0350-data_text,wood0430-data_text,0.470985644
ekma0350-data_text,wood043b-data_text,0.470985644
kine0350-data_text,goet0350-data_text,0.433291998
goet0350-data_text,kine0350-data_text,0.433291998
goet0350-data_text,ekma0350-data_text,0.432629279
ekma0350-data_text,goet0350-data_text,0.432629279
munk0430-data_text,kint0350-data_text,0.426567608
wood0430-data_text,kint0350-data_text,0.426567608
wood043b-data_text,kint0350-data_text,0.426567608
kint0350-data_text,munk0430-data_text,0.426567608
ticm0350-data_text,munk0430-data_text,0.426567608
munk0430-data_text,ticm0350-data_text,0.426567608
wood0430-data_text,ticm0350-data_text,0.426567608
wood043b-data_text,ticm0350-data_text,0.426567608
kint0350-data_text,wood0430-data_text,0.426567608
ticm0350-data_text,wood0430-data_text,0.426567608
kint0350-data_text,wood043b-data_text,0.426567608
ticm0350-data_text,wood043b-data_text,0.426567608
kine0350-data_text,daim0350-data_text,0.410717125
daim0350-data_text,kine0350-data_text,0.410717125
kine0350-data_text,cox_0350-data_text,0.410394977
