Source,Target,Weight
anon0501-data_text,arna0660-data_text,3
anon0501-data_text,bhch0565-data_text,2
anon0501-data_text,gill0350-data_text,1
anon0501-data_text,long0500-data_text,3
anon0501-data_text,nels0350-data_text,2
anon0501-data_text,oska0551-data_text,5
anon0501-data_text,plat0550-data_text,1
anon0501-data_text,well0550-data_text,2
arna0440-dos-data_text,arna0440-linux-data_text,3
arna0440-dos-data_text,arna0440-source-data_text,2
arna0440-dos-data_text,beck0500-data_text,1
arna0440-linux-data_text,arna0440-dos-data_text,3
arna0440-linux-data_text,arna0440-linux-data_text,6
arna0440-linux-data_text,arna0440-source-data_text,5
arna0440-linux-data_text,beck0500-data_text,1
arna0440-source-data_text,arna0440-dos-data_text,2
arna0440-source-data_text,arna0440-linux-data_text,5
arna0440-source-data_text,arna0440-source-data_text,4
arna0440-source-data_text,beck0500-data_text,1
arna0660-data_text,anon0501-data_text,3
arna0660-data_text,arna0770-data_text,3
arna0660-data_text,long0500-data_text,2
arna0660-data_text,munk0430-data_text,1
arna0660-data_text,plat0550-data_text,3
arna0770-data_text,arna0660-data_text,3
arna0770-data_text,mcdo0551-data_text,3
arna0770-data_text,munk0430-data_text,2
arna0770-data_text,wood0430-data_text,1
beck0500-data_text,arna0440-dos-data_text,1
beck0500-data_text,arna0440-linux-data_text,1
beck0500-data_text,arna0440-source-data_text,1
beck0500-data_text,kenw0550-data_text,3
beck0500-data_text,mcdo0551-data_text,2
beck0500-data_text,plot0350-data_text,2
beck0500-data_text,vane0560-data_text,1
bhch0565-data_text,anon0501-data_text,2
bhch0565-data_text,long0500-data_text,1
bhch0565-data_text,malm1000-data_text,2
bhch0565-data_text,well0550-data_text,6
cox_0350-data_text,CROW0000-data_text,1
cox_0350-data_text,daim0350-data_text,6
cox_0350-data_text,kenn0000-data_text,2
cox_0350-data_text,lumm0350-data_text,5
cox_0350-data_text,pohl0350-data_text,1
cox_0350-data_text,russ0000-data_text,1
CROW0000-data_text,cox_0350-data_text,1
CROW0000-data_text,lumm0350-data_text,2
CROW0000-data_text,russ0000-data_text,3
daim0350-data_text,cox_0350-data_text,6
daim0350-data_text,kenn0000-data_text,1
daim0350-data_text,lumm0350-data_text,4
ekma0350-data_text,gill0350-data_text,3
ekma0350-data_text,kine0350-data_text,5
ekma0350-data_text,wood0350-data_text,3
gill0350-data_text,anon0501-data_text,1
gill0350-data_text,ekma0350-data_text,3
gill0350-data_text,kine0350-data_text,2
gill0350-data_text,long0500-data_text,1
gill0350-data_text,munk0430-data_text,1
gill0350-data_text,wood0350-data_text,5
gill0350-data_text,wood0430-data_text,1
gill0350-data_text,wood043b-data_text,1
goet0350-data_text,kint0350-data_text,5
goet0350-data_text,oska0551-data_text,1
goet0350-data_text,ticm0350-data_text,4
goet0350-data_text,wood0350-data_text,1
kenn0000-data_text,cox_0350-data_text,2
kenn0000-data_text,daim0350-data_text,1
kenn0000-data_text,lumm0350-data_text,3
kenn0000-data_text,pohl0350-data_text,3
kenn0000-data_text,whin0450-data_text,3
kenw0550-data_text,beck0500-data_text,3
kenw0550-data_text,kenw0550-data_text,6
kenw0550-data_text,mcdo0551-data_text,1
kenw0550-data_text,plot0350-data_text,5
kenw0550-data_text,vane0560-data_text,4
kine0350-data_text,ekma0350-data_text,5
kine0350-data_text,gill0350-data_text,2
kine0350-data_text,wood0350-data_text,6
kint0350-data_text,goet0350-data_text,5
kint0350-data_text,malm0350-data_text,1
kint0350-data_text,ticm0350-data_text,3
