"anon0501-data_text" "arna0440-dos-data_text" "arna0440-linux-data_text" "arna0440-source-data_text" "arna0660-data_text" "arna0770-data_text" "beck0500-data_text" "bhch0565-data_text" "cox_0350-data_text" "CROW0000-data_text" "daim0350-data_text" "ekma0350-data_text" "gill0350-data_text" "goet0350-data_text" "kenn0000-data_text" "kenw0550-data_text" "kine0350-data_text" "kint0350-data_text" "long0500-data_text" "lumm0350-data_text" "malm0350-data_text" "malm1000-data_text" "mcdo0551-data_text" "munk0430-data_text" "nels0350-data_text" "oska0551-data_text" "plat0550-data_text" "plot0350-data_text" "pohl0350-data_text" "russ0000-data_text" "ticm0350-data_text" "vane0560-data_text" "well0550-data_text" "whin0450-data_text" "wood0350-data_text" "wood0430-data_text" "wood043b-data_text"
"the" 6.49458157736303 0.754468209786112 0.754468209786112 0.754468209786112 5.86708203530633 5.71886691608765 0 7.57744241461477 6.169757489301 4.97994652406417 6.16079923882017 5.92979127134725 5.93812966694323 5.98699546067967 6.13251879699248 0 5.94247682434039 6.09469650142168 6.49458157736303 6.1520190023753 4.35711631363805 4.84967431805899 5.29875986471251 6.45825533508049 4.39483967667684 5.81058843556716 3.8905325443787 0 6.13251879699248 4.97994652406417 6.09469650142168 0 6.71984856679286 5.94124766200902 5.94530321046373 6.45825533508049 6.45825533508049
"a" 3.91330523780855 3.43539408145327 3.43539408145327 3.43539408145327 3.31775700934579 2.41429334962205 0 6.11596505162828 4.94531621493105 5.31417112299465 4.9476688867745 4.45920303605313 4.45656038876378 4.52705189547295 4.95770676691729 0 4.46874257190397 4.48757572011373 3.91330523780855 4.95249406175772 3.5024154589372 2.57132292288876 2.25479143179256 4.23062523399476 2.51057223917349 3.84157067468649 2.41370808678501 0 4.95770676691729 5.31417112299465 4.48757572011373 0 4.94862087614927 4.78600506106282 4.4589774078478 4.23062523399476 4.23062523399476
"you" 4.89915713425647 1.11338997949018 1.11338997949018 1.11338997949018 4.16666666666667 3.199205925021 0 4.3208895949166 5.01664289110794 4.97994652406417 5.01902949571836 4.66081593927894 4.68175891904705 4.67427309532573 5.07518796992481 0 4.67078678393154 4.63592533069601 4.89915713425647 5 1.52359717577109 1.4449469522428 1.46561443066516 4.81093223511793 1.79326588512392 4.21608125744765 2.50739644970414 0 5.07518796992481 4.97994652406417 4.63592533069601 0 4.42130881557599 4.91803278688525 4.67300832342449 4.81093223511793 4.81093223511793
"of" 2.80704394942806 1.03281570465866 1.03281570465866 1.03281570465866 2.8920041536864 2.37611666793922 0 4.08260524225576 3.06704707560628 2.57352941176471 3.06850618458611 2.62096774193548 2.6312670380467 2.67451846399215 3.03101503759398 0 2.62657475635845 2.68265545802942 2.80704394942806 3.06413301662708 2.3039762170197 3.04633501151975 1.24013528748591 2.5739423436915 2.52127830415931 2.43999319071668 1.93540433925049 0 3.03101503759398 2.57352941176471 2.68265545802942 0 3.40724716062737 2.9156122785785 2.62782401902497 2.5739423436915 2.5739423436915
"in" 2.5210716435882 0.688543803105772 0.688543803105772 0.688543803105772 2.46105919003115 1.26746583186989 0 3.90786338363781 2.94816928197813 2.74064171122995 2.94957183634634 2.50237191650854 2.50088894156691 2.57637099742363 2.96052631578947 0 2.50772521987164 2.5590307825442 2.5210716435882 2.94536817102138 1.45856558900037 1.57294422163438 0.901916572717024 2.37738674653688 3.16364220330817 2.24706349656699 1.73323471400394 0 2.96052631578947 2.74064171122995 2.5590307825442 0 3.33964305029746 2.84959841566729 2.49702734839477 2.37738674653688 2.37738674653688
"to" 1.97922937989163 0.776443012012892 0.776443012012892 0.776443012012892 2.0846313603323 2.56547300908605 0 2.08101667990469 2.10413694721826 1.8716577540107 2.10513796384396 2.20588235294118 2.22828019438189 2.11017053122316 2.12640977443609 0 2.21060137865462 2.06453208060329 1.97922937989163 2.11401425178147 2.24823485693051 1.26575077509458 3.15670800450958 2.24634968176713 3.84347732990739 1.8612041082676 1.18343195266272 0 2.12640977443609 1.8716577540107 2.06453208060329 0 1.86587344510546 2.26647595995159 2.21165279429251 2.24634968176713 2.24634968176713
"is" 1.85881998795906 0.739818341634925 0.739818341634925 0.739818341634925 1.4460020768432 1.7683438955486 0 1.44559173947577 2.22301474084641 2.6403743315508 2.22407231208373 2.22960151802657 2.22828019438189 2.26966016439701 2.1968984962406 0 2.23437128595198 2.31178143157374 1.85881998795906 2.2209026128266 2.16462281679673 1.86307136558865 1.35287485907554 2.3212280044927 1.29008083079064 2.16194745503036 1.08727810650888 0 2.1968984962406 2.6403743315508 2.31178143157374 0 1.23039480800433 2.25547364946639 2.23543400713436 2.3212280044927 2.3212280044927
"and" 1.45243829018663 0.19777322004102 0.19777322004102 0.19777322004102 2.34942886812046 1.76681682828129 0 2.08101667990469 1.50974797907751 1.60427807486631 1.5104662226451 1.38757115749526 1.38674884437596 1.44767513188566 1.51550751879699 0 1.39053957689565 1.43404623562863 1.45243829018663 1.52019002375297 1.53288740245262 1.16619734334556 2.59301014656144 1.31973043803819 1.0331352711311 1.2597174147421 1.50641025641026 0 1.51550751879699 1.60427807486631 1.43404623562863 0 1.86587344510546 1.49631422598746 1.39120095124851 1.31973043803819 1.31973043803819
"are" 1.9942805538832 0.271022560796953 0.271022560796953 0.271022560796953 1.67445482866044 0.699396808429411 0 3.84432088959492 2.28245363766049 2.47326203208556 2.28353948620362 1.80265654648956 1.80158824226621 1.80345969819654 2.27913533834586 0 1.80651295459948 1.81728272963283 1.9942805538832 2.28028503562945 1.37495354886659 1.00691185254715 0.338218714768884 1.84387869711718 0.75477758149992 1.63422799750326 1.1439842209073 0 2.27913533834586 2.47326203208556 1.81728272963283 0 2.43374797187669 2.23346902849598 1.80737217598098 1.84387869711718 1.84387869711718
"room" 0.624623720650211 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.329698857736241 0.0595556234252119 0 0.969023034154091 0.725154541131717 0.668449197860963 0.725499524262607 0.735294117647059 0.734858361977006 0.748374432584959 0.716635338345865 0 0.736867126218208 0.754110520459884 0.624623720650211 0.724465558194774 5.76923076923077 5.08291378672811 0 0.599026581804568 1.34896418821262 0.51069624921977 0.330374753451677 0 0.716635338345865 0.668449197860963 0.754110520459884 0 1.21687398593835 0.671140939597315 0.737217598097503 0.599026581804568 0.599026581804568
"it" 0.820288982540638 0.512745385291532 0.512745385291532 0.512745385291532 1.15784008307373 1.8614949988547 0 0.349483717235901 0.915359010936757 0.735294117647059 0.915794481446242 0.936907020872865 0.936351783809411 0.944669365721997 0.916353383458647 0 0.938911338245781 0.914822598590679 0.820288982540638 0.914489311163896 0.622445187662579 0.773672383878033 2.59301014656144 1.0389367278173 0.728012419035383 0.760369971060546 0.571992110453649 0 0.916353383458647 0.735294117647059 0.914822598590679 0 0.324499729583559 0.924194080756959 0.93935790725327 1.0389367278173 1.0389367278173
"at" 1.13636363636364 0.314972165250513 0.314972165250513 0.314972165250513 0.594496365524403 0.290142780789494 0 0.969023034154091 0.915359010936757 1.03609625668449 0.915794481446242 0.865749525616698 0.853383904231362 0.858790332474543 0.892857142857143 0 0.855716662705015 0.865372728396588 1.13636363636364 0.914489311163896 0.408769973987365 0.964246096083284 0.225479143179256 0.879820292025459 1.16160805096087 0.913578845826477 1.20315581854043 0 0.892857142857143 1.03609625668449 0.865372728396588 0 1.39264467279611 0.836175596875344 0.856123662306778 0.879820292025459 0.879820292025459
"end" 0.444009632751355 0.0732493407559332 0.0732493407559332 0.0732493407559332 0.314122533748702 0.04886615255402 0 0.68308181096108 0.725154541131717 0.668449197860963 0.725499524262607 0.569259962049336 0.568922602820908 0.57661636609005 0.728383458646617 0 0.570477775136677 0.581035974780566 0.444009632751355 0.724465558194774 4.64511334076551 4.0532468640669 0 0.439910146012729 0.877897328836786 0.363161777222947 0.214497041420118 0 0.728383458646617 0.668449197860963 0.581035974780566 0 0.689561925365062 0.693145560567719 0.570749108204518 0.439910146012729 0.439910146012729
"text" 0 0 0 0 2.27673935617861 2.72886920668855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.204384986993683 0.156441107034161 0 0 0.0160590974787217 0 1.06755424063116 0 0 0 0 0 0 0 0 0 0
"there" 0.489163154726069 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.441329179646937 0.63525998320226 0 0.476568705321684 1.09367570137898 1.20320855614973 1.0941960038059 1.0792220113852 1.07858243451464 1.11642743221691 1.08082706766917 0 1.08153078202995 1.11262207936704 0.489163154726069 1.09263657957245 0.826830174656262 0.648519498250704 0.225479143179256 1.10445526020217 0.401477436968042 0.8625092209045 0.532544378698225 0 1.08082706766917 1.20320855614973 1.11262207936704 0 0.392103839913467 1.03421718560898 1.0820451843044 1.10445526020217 1.10445526020217
"i" 0.428958458759783 0.915616759449165 0.915616759449165 0.915616759449165 0.752855659397715 1.04145987630755 0 0 0.665715644317642 0.735294117647059 0.666032350142721 0.71157495256167 0.711153253526135 0.687032265979634 0.657894736842105 0 0.713097218920846 0.704660650265793 0.428958458759783 0.665083135391924 0.0278706800445931 0.054043291520892 1.46561443066516 0.580307001123175 0.294416787109898 0.442603415990467 0.899901380670611 0 0.657894736842105 0.735294117647059 0.704660650265793 0 0 0.63813400814171 0.713436385255648 0.580307001123175 0.580307001123175
"with" 0.722456351595424 0 0 0 0.680166147455867 0.555852485301978 0 0.841938046068308 0.772705658582977 0.868983957219251 0.773073263558516 0.759013282732448 0.758563470427877 0.772911299227089 0.763627819548872 0 0.760637033515569 0.741748052911361 0.722456351595424 0.771971496437055 0.668896321070234 0.492078391216543 1.69109357384442 0.683264694870835 1.87891440501044 0.646881915678375 0.461045364891519 0 0.763627819548872 0.868983957219251 0.741748052911361 0 0.892374256354786 0.770161733964132 0.760998810939358 0.683264694870835 0.683264694870835
"re" 1.19656833232992 0.974216232053912 0.974216232053912 0.974216232053912 0.524402907580478 0.0335954798808888 0 0.206513105639396 0.939134569662387 0.9024064171123 0.939581351094196 0.94876660341556 0.948204338034846 0.969206232364127 0.928101503759398 0 0.950796291894462 0.976634936333292 1.19656833232992 0.938242280285036 0.0650315867707172 0.054043291520892 0 0.879820292025459 0.171297039773031 0.919253248595585 0.384615384615385 0 0.928101503759398 0.9024064171123 0.976634936333292 0 1.81179015684154 0.869182528330949 0.951248513674197 0.879820292025459 0.879820292025459
"t" 0.579470198675497 1.8605332552007 1.8605332552007 1.8605332552007 0.446521287642783 0.766587768191189 0 0.0953137410643368 0.511174512601046 0.668449197860963 0.511417697431018 0.486242884250474 0.485954723242859 0.503005766163661 0.505169172932331 0 0.487283099595912 0.50686116948943 0.579470198675497 0.510688836104513 0.0929022668153103 0.0967090479847541 0.112739571589628 0.477349307375515 0.294416787109898 0.499347443681553 0.268737672583826 0 0.505169172932331 0.668449197860963 0.50686116948943 0 0.108166576527853 0.473099350863681 0.487514863258026 0.477349307375515 0.477349307375515
