Source,Target,Weight
arna0440-dos-code_text,blac0350-code_text,3
arna0440-dos-code_text,dove0550-code_text,2
arna0440-dos-code_text,jame0551-code_text,1
arna0440-dos-code_text,long0500-code_text,2
arna0440-dos-code_text,oska0551-code_text,2
arna0440-source_text,vane0560-code_text,3
arna0440-source_text,wood0350-code_text,4
arna0440-source_text,wood043b-code_text,2
blac0350-code_text,arna0440-dos-code_text,3
blac0350-code_text,blac0350-code_text,6
blac0350-code_text,dove0550-code_text,5
blac0350-code_text,jame0551-code_text,4
blac0350-code_text,long0500-code_text,1
blac0350-code_text,muno0370-code_text,3
blac0350-code_text,olss0551-code_text,3
blac0350-code_text,oska0551-code_text,1
blac0350-code_text,supn0350-code_text,3
dove0550-code_text,arna0440-dos-code_text,2
dove0550-code_text,blac0350-code_text,5
dove0550-code_text,dove0550-code_text,4
dove0550-code_text,jame0551-code_text,3
dove0550-code_text,muno0370-code_text,2
dove0550-code_text,olss0551-code_text,2
dove0550-code_text,supn0350-code_text,2
jame0551-code_text,arna0440-dos-code_text,1
jame0551-code_text,blac0350-code_text,4
jame0551-code_text,dove0550-code_text,3
jame0551-code_text,jame0551-code_text,2
jame0551-code_text,muno0370-code_text,1
jame0551-code_text,olss0551-code_text,1
jame0551-code_text,supn0350-code_text,1
long0500-code_text,arna0440-dos-code_text,2
long0500-code_text,blac0350-code_text,1
long0500-code_text,oska0551-code_text,6
muno0370-code_text,blac0350-code_text,3
muno0370-code_text,dove0550-code_text,2
muno0370-code_text,jame0551-code_text,1
olss0551-code_text,blac0350-code_text,3
olss0551-code_text,dove0550-code_text,2
olss0551-code_text,jame0551-code_text,1
oska0551-code_text,arna0440-dos-code_text,2
oska0551-code_text,blac0350-code_text,1
oska0551-code_text,long0500-code_text,6
supn0350-code_text,blac0350-code_text,3
supn0350-code_text,dove0550-code_text,2
supn0350-code_text,jame0551-code_text,1
vane0560-code_text,arna0440-source_text,3
vane0560-code_text,wood0350-code_text,5
vane0560-code_text,wood043b-code_text,4
wood0350-code_text,arna0440-source_text,4
wood0350-code_text,vane0560-code_text,5
wood0350-code_text,wood043b-code_text,6
wood043b-code_text,arna0440-source_text,2
wood043b-code_text,vane0560-code_text,4
wood043b-code_text,wood0350-code_text,6
