"arna0440-dos-code_text" "arna0440-source_text" "blac0350-code_text" "dove0550-code_text" "jame0551-code_text" "long0500-code_text" "muno0370-code_text" "olss0551-code_text" "oska0551-code_text" "supn0350-code_text" "vane0560-code_text" "wood0350-code_text" "wood043b-code_text"
"if" 0 7.32499398604763 0 0 0 6.37755102040816 0 0 5.23012552301255 0 5.86333909644441 4.70320639812165 4.56877595895431
"eq" 0 4.54654799133991 0 0 0 0 0 0 0 0 3.37517853115839 2.09846650524617 0
"goto" 0 6.23045465479913 0 0 0 2.55102040816327 0 0 2.09205020920502 0 0 2.97894196199281 4.00684094795993
"obj" 0 2.80250180418571 0 0 0 0 0 0 0 0 3.61572577614072 1.48213368552352 0.439775225995602
"to" 0 0.312725523213856 0 0 0 0.76530612244898 0 0 1.46443514644351 0 4.35240171389912 1.1666299801893 1.56364524798436
"and" 0 1.69593456819822 0 0 0 1.53061224489796 0 0 1.46443514644351 0 2.2025107118695 1.91503411842395 1.07500610798925
"c" 0 0.745730093817657 0 0 0 4.59183673469388 0 0 5.64853556485356 0 0.0300684056227919 4.55646048866388 0.0244319569997557
"call" 0 2.57397161414482 0 0 0 3.57142857142857 0 0 2.92887029288703 0 1.78907013455612 1.62887959498129 0
"i" 0 2.74236228049074 0 0 0 0.255102040816327 0 0 0.627615062761506 0 0.871983763060964 1.72426443612884 1.9301246029807
"the" 0 0.144334856867934 0 0 0 0 0 0 0 0 1.53348868676238 2.17917675544794 3.00513071096995
"loc" 0 2.54991580466683 0 0 0 0 0 0 0 0 1.19521912350598 1.27668941228263 1.97898851698021
"prop" 0 1.97257637719509 0 0 0 0 0 0 0 0 1.81162143877321 1.07858243451464 1.36818959198632
"k" 0 2.02068799615107 0 0 0 0 0 0 0 0 1.01480868976923 1.39408613984885 1.44148546298559
"spk" 0 1.90040894876113 0 0 0 0 0 0 0 0 1.77403593174472 0.851126274855088 0.415343268995847
"go" 0 0.10825114265095 0 0 0 0.255102040816327 0 0 0.209205020920502 0 3.55558896489514 0.095384841147553 0.146591741998534
"ne" 0 1.92446475823911 0 0 0 0.255102040816327 0 0 0.209205020920502 0 1.4733518755168 1.02722136620442 0.0488639139995114
"or" 0 1.99663218667308 0 0 0 0 0 0 0 0 1.31549274599714 1.02722136620442 0.195455655998045
"is" 0 0.420976665864806 0 0 0 1.27551020408163 0 0 1.46443514644351 0 0.894535067278058 1.14461809377064 0.879550451991205
"a" 0 0.192446475823911 0 0 0 2.29591836734694 0 0 2.09205020920502 0 0.706607532135609 1.28402670775552 0.561935010994381
"not" 0 0.902092855424585 0 0 0 0.76530612244898 0 0 0.836820083682008 0 0.969706081335037 0.682368478978648 0.146591741998534
"l" 0 0.372865046908828 0 0 0 0 0 0 0 0 0 0.0807102502017756 6.25458099193745
"of" 0 0.192446475823911 0 0 0 0 0 0 0 0 0.623919416672931 0.880475456746643 0.635230881993648
"in" 0 0.469088284820784 0 0 0 0.76530612244898 0 0 0.836820083682008 0 0.451026084341878 0.653019297087094 0.610798924993892
"j" 0 0.757757998556651 0 0 0 0 0 0 0 0 0.428474780124784 0.388876660063101 0.928414365990716
"for" 0 0.0962232379119557 0 0 0 1.02040816326531 0 0 1.04602510460251 0 0.458543185747576 0.689705774451537 0.830686537991693
"here" 0 0.697618474861679 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.353303766067804 0.535622569520875 0.561935010994381
"then" 0 0 0 0 0 0.76530612244898 0 0 0.627615062761506 0 1.36811245583703 0.095384841147553 0.0977278279990227
"do" 0 0.853981236468607 0 0 0 0 0 0 0 0 0.458543185747576 0.476924205737765 0.073295870999267
"iobj" 0 0.360837142169834 0 0 0 0 0 0 0 0 1.22528752912877 0 0
"troll" 0 0.613423141688718 0 0 0 0 0 0 0 0 0.360820867473502 0.440237728373322 0.708526752992915
"newloc" 0 0.661534760644696 0 0 0 0 0 0 0 0 0.225513042170939 0.374202069117323 1.19716589298803
"case" 0 0 0 0 0 0 0 0 0 0 0.871983763060964 0.117396727566219 0.952846322990472
