Source,Target,Weight
anon0501-readme_text,bree_xxx-readme_text,1
anon0501-readme_text,butt_xxx-readme_text,2
anon0501-readme_text,plat0550-readme_text,3
arna-0440-source-readme_text,bree_xxx-readme_text,3
arna-0440-source-readme_text,gerr0000-readme_text,1
arna-0440-source-readme_text,plat0550-readme_text,2
arna0550-readme_text,arna0660-readme_text,5
arna0550-readme_text,arna0770-readme_text,4
arna0550-readme_text,pict0551-readme_text,4
arna0660-readme_text,arna0550-readme_text,5
arna0660-readme_text,arna0770-readme_text,6
arna0660-readme_text,bree_xxx-readme_text,1
arna0660-readme_text,pict0551-readme_text,2
arna0770-readme_text,arna0550-readme_text,4
arna0770-readme_text,arna0660-readme_text,6
arna0770-readme_text,bree_xxx-readme_text,1
arna0770-readme_text,pict0551-readme_text,1
bagg0350-readme_text,cox_0350-readme_text,2
bagg0350-readme_text,gerr0000-readme_text,3
bagg0350-readme_text,ticm0350-readme_text,1
benh0350-readme_text,diaz0350-readme_text,3
benh0350-readme_text,gasi0350-readme_text,2
benh0350-readme_text,muno0370-readme_text,1
bhav0565-readme_text,diaz0350-readme_text,3
bhav0565-readme_text,gasi0350-readme_text,2
bhav0565-readme_text,muno0370-readme_text,1
blac0350-readme_text,kenw0550-readme_text,1
blac0350-readme_text,kint0350-readme_text,2
blac0350-readme_text,supn0350-readme_text,3
bree_xxx-readme_text,anon0501-readme_text,1
bree_xxx-readme_text,arna-0440-source-readme_text,3
bree_xxx-readme_text,arna0660-readme_text,1
bree_xxx-readme_text,arna0770-readme_text,1
bree_xxx-readme_text,butt_xxx-readme_text,3
bree_xxx-readme_text,cox_0350-readme_text,1
bree_xxx-readme_text,ekma0350-readme_text,1
bree_xxx-readme_text,gerr0000-readme_text,6
bree_xxx-readme_text,kenw0550-readme_text,4
bree_xxx-readme_text,kinm0551-readme_text,1
bree_xxx-readme_text,plat0550-readme_text,3
bree_xxx-readme_text,well0550-readme_text,2
butt_xxx-readme_text,anon0501-readme_text,2
butt_xxx-readme_text,bree_xxx-readme_text,3
butt_xxx-readme_text,cox_0350-readme_text,1
butt_xxx-readme_text,kinm0551-readme_text,2
