"anon0501-readme_text" "arna-0440-source-readme_text" "arna0550-readme_text" "arna0660-readme_text" "arna0770-readme_text" "bagg0350-readme_text" "benh0350-readme_text" "bhav0565-readme_text" "blac0350-readme_text" "bree_xxx-readme_text" "butt_xxx-readme_text" "cox_0350-readme_text" "daim0350-readme_text" "diaz0350-readme_text" "dove0550-readme_text" "ekma0350-readme_text" "gasi0350-readme_text" "gerr0000-readme_text" "goet0350-readme_text" "jame0551-readme_text" "kenn0000-readme_text" "kenw0550-readme_text" "kina0660-readme_text" "kind0430-readme_text" "kine0350-readme_text" "king0350-readme_text" "kinm0551-readme_text" "kint0350-readme_text" "malm0350-readme_text" "malm1000-readme_text" "mcdo0551-readme_text" "munk0430-readme_text" "muno0370-readme_text" "olss0551-redme_text" "oska0551-readme_text" "pict0551-readme_text" "plat0550-readme_text" "plot0350-readme_text" "pohl0350-readme_text" "raym0430-readme_text" "supn0350-readme_text" "ticm0350-readme_text" "vane0560-readme_text" "well0550-readme_text" "whin0450-readme_text" "wood0350-readme_text" "yong_xxx-readme_text"
"the" 5.5 8.03571428571429 8.67823765020027 8.63874345549738 8.63874345549738 6.98254364089776 3.92156862745098 5.55555555555556 8.15939278937381 6.30810092961487 5.48523206751055 7.87234042553191 4.61215932914046 0 4.79041916167665 7.4 0 4.71391417425228 5.97826086956522 4.96894409937888 6.83229813664596 3.97236614853195 3.76470588235294 8.16326530612245 8.08510638297872 7.96915167095116 6.09929078014184 5.6 5.26315789473684 13.0177514792899 6.08623153882801 8.16326530612245 0 4.9079754601227 5.97826086956522 7.48031496062992 8.57142857142857 5.99369085173502 6.83229813664596 8.13397129186603 8.15939278937381 6.18131868131868 3.19148936170213 3.00230946882217 6.76229508196721 4.62962962962963 0
"a" 2 2.67857142857143 2.7369826435247 2.68324607329843 2.68324607329843 1.24688279301746 4.57516339869281 3.17460317460317 1.32827324478178 1.52722443559097 4.64135021097046 1.48936170212766 1.25786163522013 0 1.49700598802395 3 0 1.49544863459038 3.26086956521739 1.86335403726708 2.48447204968944 1.38169257340242 3.29411764705882 4.08163265306122 2.83687943262411 1.02827763496144 2.12765957446809 2.2 0 1.77514792899408 3.91257741781801 4.08163265306122 0 1.22699386503067 3.26086956521739 1.41732283464567 2.14285714285714 2.20820189274448 2.48447204968944 2.39234449760766 1.32827324478178 2.88461538461538 1.06382978723404 1.15473441108545 1.22950819672131 3.24074074074074 0
"you" 0.5 0.595238095238095 0.200267022696929 0.261780104712042 0.261780104712042 4.23940149625935 0 2.38095238095238 3.03605313092979 0.597609561752988 0 0.638297872340426 0.209643605870021 0 2.39520958083832 1 0 1.33289986996099 0 1.24223602484472 3.93374741200828 0.518134715025907 0.941176470588235 0 0.709219858156028 0 1.20567375886525 2.5 0 1.77514792899408 4.293711291091 0 0 2.45398773006135 1.6304347826087 0.236220472440945 0 1.89274447949527 3.93374741200828 0.478468899521531 3.03605313092979 0.824175824175824 0 0.69284064665127 4.71311475409836 0 0
"of" 2.5 5.35714285714286 1.66889185580774 1.63612565445026 1.63612565445026 1.99501246882793 3.26797385620915 2.38095238095238 1.89753320683112 1.92563081009296 3.79746835443038 2.76595744680851 0.419287211740042 0 0.898203592814371 1.4 0 1.59297789336801 1.08695652173913 2.48447204968944 1.24223602484472 1.72711571675302 2.11764705882353 4.08163265306122 1.56028368794326 4.88431876606684 2.4822695035461 1.9 2.63157894736842 4.73372781065089 2.50714626012387 4.08163265306122 0 1.22699386503067 1.08695652173913 2.28346456692913 2.85714285714286 1.57728706624606 1.24223602484472 1.91387559808612 1.89753320683112 1.78571428571429 2.12765957446809 1.84757505773672 1.02459016393443 4.62962962962963 0
"to" 4 2.08333333333333 2.0694259012016 2.09424083769634 2.09424083769634 4.23940149625935 2.61437908496732 3.17460317460317 2.84629981024668 1.66002656042497 3.37552742616034 4.46808510638298 1.0482180293501 0 2.9940119760479 3 0 1.69050715214564 2.17391304347826 3.1055900621118 3.31262939958592 1.89982728842832 2.35294117647059 2.04081632653061 3.26241134751773 2.05655526992288 2.6241134751773 3.1 2.63157894736842 1.77514792899408 1.72701286326822 2.04081632653061 0 1.84049079754601 3.26086956521739 2.28346456692913 1.19047619047619 1.57728706624606 3.31262939958592 2.87081339712919 2.84629981024668 2.60989010989011 1.06382978723404 2.07852193995381 2.66393442622951 1.85185185185185 0
"is" 1.5 0 2.60347129506008 2.55235602094241 2.55235602094241 1.49625935162095 0.65359477124183 1.58730158730159 1.89753320683112 0.863213811420983 0.843881856540084 1.06382978723404 0.209643605870021 0 1.49700598802395 2.2 0 0.715214564369311 3.26086956521739 1.5527950310559 0.82815734989648 1.72711571675302 2.11764705882353 4.08163265306122 1.98581560283688 1.79948586118252 1.56028368794326 1 0 0.591715976331361 2.16174368747022 4.08163265306122 0 1.22699386503067 3.26086956521739 1.65354330708661 0.952380952380952 2.20820189274448 0.82815734989648 1.91387559808612 1.89753320683112 1.78571428571429 0 1.15473441108545 1.63934426229508 1.38888888888889 0
"and" 2.5 2.97619047619048 1.86915887850467 1.8979057591623 1.8979057591623 0.748129675810474 1.30718954248366 1.58730158730159 2.27703984819734 2.78884462151394 1.68776371308017 1.27659574468085 0.628930817610063 0 1.49700598802395 2.4 0 1.78803641092328 1.6304347826087 3.72670807453416 3.51966873706004 2.41796200345423 3.05882352941176 0 2.4113475177305 3.08483290488432 3.12056737588652 1.7 2.63157894736842 0 1.26250595521677 0 0 1.84049079754601 1.08695652173913 1.73228346456693 2.85714285714286 0.946372239747634 3.51966873706004 2.87081339712919 2.27703984819734 1.78571428571429 4.25531914893617 2.07852193995381 2.45901639344262 1.38888888888889 0
"in" 0.5 2.08333333333333 1.33511348464619 1.30890052356021 1.30890052356021 0.997506234413965 0 0.793650793650794 0.94876660341556 1.59362549800797 0.843881856540084 1.70212765957447 0.628930817610063 0 2.69461077844311 0.8 0 1.33289986996099 1.08695652173913 0.62111801242236 0.82815734989648 1.38169257340242 0.235294117647059 0 0.567375886524823 2.31362467866324 0.709219858156028 1.3 0 0 2.29275845640781 0 0 2.45398773006135 1.6304347826087 2.51968503937008 2.61904761904762 1.57728706624606 0.82815734989648 0.956937799043062 0.94876660341556 1.51098901098901 2.12765957446809 1.84757505773672 1.22950819672131 1.38888888888889 0
"are" 1 0.297619047619048 0.534045393858478 0.523560209424084 0.523560209424084 0.748129675810474 0 0.793650793650794 1.13851992409867 0.730411686586985 1.26582278481013 0 1.25786163522013 0 0.29940119760479 1 0 0.325097529258778 0.543478260869565 0.31055900621118 1.0351966873706 0 0 0 0.709219858156028 0.77120822622108 0.283687943262411 0.5 0 1.18343195266272 1.79847546450691 0 0 0 0 0.866141732283465 1.19047619047619 0.630914826498423 1.0351966873706 0.478468899521531 1.13851992409867 0.549450549450549 0 0 0 0 0
"it" 1.5 1.19047619047619 0.333778371161549 0.327225130890052 0.327225130890052 0.997506234413965 0.65359477124183 0 0.94876660341556 0.929614873837981 0.843881856540084 0.851063829787234 0 0 0.29940119760479 1.4 0 1.13784135240572 1.6304347826087 2.17391304347826 0.41407867494824 1.72711571675302 1.64705882352941 2.04081632653061 1.27659574468085 0.25706940874036 2.19858156028369 0.8 0 0 0.738446879466413 2.04081632653061 0 1.22699386503067 1.08695652173913 0.62992125984252 0.952380952380952 0.946372239747634 0.41407867494824 1.91387559808612 0.94876660341556 1.0989010989011 2.12765957446809 1.84757505773672 1.4344262295082 1.38888888888889 0
