Source,Target,Weight
3ds_text,munk0430-data_text,1
3ds_text,wood0430-data_text,1
3ds_text,wood043b-data_text,1
3ds_text,woods_text,1
CROW0000-data_text,crowther_text,1
CROW0000-data_text,russ0000-data_text,1
anon0501-data_text,long0500-data_text,1
arna0440-dos-data_text,arna0440-linux-data_text,1
arna0440-dos-data_text,arna0440-source-data_text,1
arna0440-dos-data_text,arnautov-advii_text,1
arna0440-linux-data_text,arna0440-dos-data_text,1
arna0440-linux-data_text,arna0440-source-data_text,1
arna0440-linux-data_text,arnautov-advii_text,1
arna0440-source-data_text,arna0440-dos-data_text,1
arna0440-source-data_text,arna0440-linux-data_text,1
arna0440-source-data_text,arnautov-advii_text,1
arnautov-advii_text,arna0440-dos-data_text,1
arnautov-advii_text,arna0440-linux-data_text,1
arnautov-advii_text,arna0440-source-data_text,1
blackett-supnik_text,kint0350-data_text,1
blackett-supnik_text,ticm0350-data_text,1
blackett-supnik_text,ticmanis_text,1
calhoun_text,lumm0350-data_text,1
cox_0350-data_text,matt_text,1
crowther_text,CROW0000-data_text,1
crowther_text,russ0000-data_text,1
ekman_text,kine0350-data_text,1
gill0350-data_text,gillogly_text,1
gill0350-data_text,williams-bsdgames_text,1
gillogly_text,gill0350-data_text,1
gillogly_text,williams-bsdgames_text,1
kenn0000-data_text,pohl0350-data_text,1
kine0350-data_text,ekman_text,1
kint0350-data_text,blackett-supnik_text,1
kint0350-data_text,ticm0350-data_text,1
kint0350-data_text,ticmanis_text,1
long0500-data_text,anon0501-data_text,1
lumm0350-data_text,calhoun_text,1
malm0350-data_text,malmberg_agt_text,1
malmberg_agt_text,malm0350-data_text,1
martin_text,wong_text,1
martin_text,wood0350-data_text,1
matt_text,cox_0350-data_text,1
munk0430-data_text,3ds_text,1
munk0430-data_text,wood0430-data_text,1
munk0430-data_text,wood043b-data_text,1
munk0430-data_text,woods_text,1
pohl0350-data_text,kenn0000-data_text,1
russ0000-data_text,CROW0000-data_text,1
russ0000-data_text,crowther_text,1
spadventure_text,walton_text,1
ticm0350-data_text,blackett-supnik_text,1
ticm0350-data_text,kint0350-data_text,1
ticm0350-data_text,ticmanis_text,1
ticmanis_text,blackett-supnik_text,1
ticmanis_text,kint0350-data_text,1
ticmanis_text,ticm0350-data_text,1
walton_text,spadventure_text,1
williams-bsdgames_text,gill0350-data_text,1
williams-bsdgames_text,gillogly_text,1
wong_text,martin_text,1
wong_text,wood0350-data_text,1
wood0350-data_text,martin_text,1
wood0350-data_text,wong_text,1
wood0430-data_text,3ds_text,1
wood0430-data_text,munk0430-data_text,1
wood0430-data_text,wood043b-data_text,1
wood0430-data_text,woods_text,1
wood043b-data_text,3ds_text,1
wood043b-data_text,munk0430-data_text,1
wood043b-data_text,wood0430-data_text,1
wood043b-data_text,woods_text,1
woods_text,3ds_text,1
woods_text,munk0430-data_text,1
woods_text,wood0430-data_text,1
woods_text,wood043b-data_text,1
nels0350-data_text,nelson_text,0.99942973
nelson_text,nels0350-data_text,0.99942973
oska0551-data_text,randle_text,0.999055628
randle_text,oska0551-data_text,0.999055628
calhoun_text,pohl_text,0.998600865
lumm0350-data_text,pohl_text,0.998600865
pohl_text,calhoun_text,0.998600865
pohl_text,lumm0350-data_text,0.998600865
ekma0350-data_text,ekman_text,0.996675398
ekma0350-data_text,kine0350-data_text,0.996675398
ekman_text,ekma0350-data_text,0.996675398
kine0350-data_text,ekma0350-data_text,0.996675398
cox_0350-data_text,daim0350-data_text,0.993521341
daim0350-data_text,cox_0350-data_text,0.993521341
daim0350-data_text,matt_text,0.993521341
matt_text,daim0350-data_text,0.993521341
strobl_text,wellsch_text,0.991983147
wellsch_text,strobl_text,0.991983147
kenw0550-data_text,wellsch_text,0.989390848
wellsch_text,kenw0550-data_text,0.989390848
calhoun_text,daim0350-data_text,0.987971638
daim0350-data_text,calhoun_text,0.987971638
daim0350-data_text,lumm0350-data_text,0.987971638
lumm0350-data_text,daim0350-data_text,0.987971638
calhoun_text,cox_0350-data_text,0.987093509
calhoun_text,matt_text,0.987093509
cox_0350-data_text,calhoun_text,0.987093509
cox_0350-data_text,lumm0350-data_text,0.987093509
lumm0350-data_text,cox_0350-data_text,0.987093509
lumm0350-data_text,matt_text,0.987093509
matt_text,calhoun_text,0.987093509
matt_text,lumm0350-data_text,0.987093509
daim0350-data_text,pohl_text,0.986589069
pohl_text,daim0350-data_text,0.986589069
cox_0350-data_text,pohl_text,0.985712479
matt_text,pohl_text,0.985712479
pohl_text,cox_0350-data_text,0.985712479
pohl_text,matt_text,0.985712479
kenw0550-data_text,strobl_text,0.981529732
strobl_text,kenw0550-data_text,0.981529732
gill0350-data_text,martin_text,0.980436681
gill0350-data_text,wong_text,0.980436681
gill0350-data_text,wood0350-data_text,0.980436681
gillogly_text,martin_text,0.980436681
gillogly_text,wong_text,0.980436681
gillogly_text,wood0350-data_text,0.980436681
martin_text,gill0350-data_text,0.980436681
martin_text,gillogly_text,0.980436681
martin_text,williams-bsdgames_text,0.980436681
williams-bsdgames_text,martin_text,0.980436681
williams-bsdgames_text,wong_text,0.980436681
