"","arna0440-dos-code_text","arna0440-source_text","blac0350-code_text","dove0550-code_text","jame0551-code_text","long0500-code_text","muno0370-code_text","olss0551-code_text","oska0551-code_text","supn0350-code_text","vane0560-code_text","wood0350-code_text","wood043b-code_text"
"arna0440-dos-code_text",NA,0,0,0,0,0,0,0.000387697079348669,0,0,0,0,0
"arna0440-source_text",NA,NA,0,0,0,0,0.0923915597537478,0,0,0,0.0143444415289075,0.166972218304894,0.00986703988803359
"blac0350-code_text",NA,NA,NA,0,0,0,0,0,0,1,0,0,0
"dove0550-code_text",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"jame0551-code_text",NA,NA,NA,NA,NA,0,0,0.00016533024716872,0,0,3.02846759539673e-05,0,0
"long0500-code_text",NA,NA,NA,NA,NA,NA,0,0,0.696969696969697,0,0,0.0183145321831453,0
"muno0370-code_text",NA,NA,NA,NA,NA,NA,NA,0.000112107623318386,0,0,0.0413574943372647,0.426209677419355,0.0594780138486122
"olss0551-code_text",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.000112429029175333,0,0
"oska0551-code_text",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.017613299030279,0
"supn0350-code_text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"vane0560-code_text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0406764673372389,0.0243300625466231
"wood0350-code_text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0569661458333333
"wood043b-code_text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
