Source,Target,Weight
anon0501-readme_text,anon0501-readme_text,NA
anon0501-readme_text,arna-0440-source-readme_text,0
anon0501-readme_text,arna0550-readme_text,0
anon0501-readme_text,arna0660-readme_text,0
anon0501-readme_text,arna0770-readme_text,0
anon0501-readme_text,bagg0350-readme_text,0
anon0501-readme_text,benh0350-readme_text,0
anon0501-readme_text,bhav0565-readme_text,0
anon0501-readme_text,blac0350-readme_text,0
anon0501-readme_text,bree_xxx-readme_text,0
anon0501-readme_text,butt_xxx-readme_text,0
anon0501-readme_text,cox_0350-readme_text,0
anon0501-readme_text,daim0350-readme_text,0
anon0501-readme_text,diaz0350-readme_text,0
anon0501-readme_text,dove0550-readme_text,0
anon0501-readme_text,ekma0350-readme_text,0
anon0501-readme_text,gasi0350-readme_text,0
anon0501-readme_text,gerr0000-readme_text,0
anon0501-readme_text,goet0350-readme_text,0
anon0501-readme_text,jame0551-readme_text,0
anon0501-readme_text,kenn0000-readme_text,0
anon0501-readme_text,kenw0550-readme_text,0
anon0501-readme_text,kina0660-readme_text,0
anon0501-readme_text,kind0430-readme_text,0
anon0501-readme_text,kine0350-readme_text,0
anon0501-readme_text,king0350-readme_text,0
anon0501-readme_text,kinm0551-readme_text,0
anon0501-readme_text,kint0350-readme_text,0
anon0501-readme_text,malm0350-readme_text,0
anon0501-readme_text,malm1000-readme_text,0
anon0501-readme_text,mcdo0551-readme_text,0
anon0501-readme_text,munk0430-readme_text,0
anon0501-readme_text,muno0370-readme_text,0
anon0501-readme_text,olss0551-redme_text,0
anon0501-readme_text,oska0551-readme_text,0
anon0501-readme_text,pict0551-readme_text,0
anon0501-readme_text,plat0550-readme_text,0
anon0501-readme_text,plot0350-readme_text,0
anon0501-readme_text,pohl0350-readme_text,0
anon0501-readme_text,raym0430-readme_text,0
anon0501-readme_text,supn0350-readme_text,0
anon0501-readme_text,ticm0350-readme_text,0
anon0501-readme_text,vane0560-readme_text,0
anon0501-readme_text,well0550-readme_text,0
anon0501-readme_text,whin0450-readme_text,0
anon0501-readme_text,wood0350-readme_text,0
anon0501-readme_text,yong_xxx-readme_text,0
arna-0440-source-readme_text,anon0501-readme_text,NA
arna-0440-source-readme_text,arna-0440-source-readme_text,NA
arna-0440-source-readme_text,arna0550-readme_text,0
arna-0440-source-readme_text,arna0660-readme_text,0
arna-0440-source-readme_text,arna0770-readme_text,0
arna-0440-source-readme_text,bagg0350-readme_text,0
arna-0440-source-readme_text,benh0350-readme_text,0
arna-0440-source-readme_text,bhav0565-readme_text,0
